,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,geometry,encounter_coordinates,num_encounters_at_coords,residing_mongodb_collection
77,2020-01-21T02:20:40.000Z,,,185485866@N05,malaboutiqueinnonline,True,Whale Shark Snorkelling in Maldives,https://live.staticflickr.com/65535/49418693496_45d739cc6a_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
78,2019-12-20T12:07:57.000Z,,,22571051@N06,colin.robson11,True,_DSC5331,https://live.staticflickr.com/65535/49361030816_3d746ed437_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
79,2019-12-11T22:54:03.000Z,,,185485866@N05,malaboutiqueinnonline,True,Whale Shark Snorkelling in Maldives,https://live.staticflickr.com/65535/49207536282_a35522773b_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
80,2019-12-20T12:05:08.000Z,,,22571051@N06,colin.robson11,True,_DSC5311,https://live.staticflickr.com/65535/49360570223_e2521120c1_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
81,2019-12-28T15:31:54.000Z,,,153986694@N04,Devlik Photography,True,"Whale shark near divers, Georgia Aquarium, Atlanta, GA",https://live.staticflickr.com/65535/49296205488_aa06ac09b8_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
82,2020-07-31T05:04:14.000Z,,,156770515@N03,www.divenacala.wordpress.com,True,More than Meets the Eye: Whale Shark Eyeballs Have Two Incredible Features,https://live.staticflickr.com/65535/50172420178_b745843cab_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
83,2020-02-21T23:28:42.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia PSU00842-4",https://live.staticflickr.com/65535/50130696748_72da567ba3_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
84,2019-08-02T11:20:30.000Z,,,91244885@N00,Joey Jojo,True,"Whale Shark (Rhincodon typus), Bahia De Los Angeles Bay",https://live.staticflickr.com/65535/49567508803_09f8f07977_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
85,2019-08-02T11:17:53.000Z,,,91244885@N00,Joey Jojo,True,"Whale Shark (Rhincodon typus), Bahia De Los Angeles Bay",https://live.staticflickr.com/65535/49568235787_d3753a82f4_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
86,2019-08-02T11:17:46.000Z,,,91244885@N00,Joey Jojo,True,"Whale Shark (Rhincodon typus), Bahia De Los Angeles Bay",https://live.staticflickr.com/65535/49568235762_6f5590eb8f_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
87,2019-08-02T11:30:37.000Z,,,91244885@N00,Joey Jojo,True,"Whale Shark (Rhincodon typus), Bahia De Los Angeles Bay",https://live.staticflickr.com/65535/49568009106_7b3c4d2ed2_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
