,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,encounter_coordinates,residing_mongodb_collection,num_encounters_at_coords
68,2021-05-14T11:09:29.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51180385209_172c33e6a7_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
69,2021-05-14T11:09:29.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51179812818_5259eefc3c_b.jpg,True,,England,"(51.500152587890625, -0.12623600661754608)",51.500152587890625,-0.12623600661754608,"(nan, nan)",['humpback whale general'],3942
70,2021-05-14T11:14:41.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51180686570_bab3fdafe6_b.jpg,True,,España,"(40.390106201171875, -3.554382085800171)",40.390106201171875,-3.554382085800171,"(nan, nan)",['humpback whale general'],3942
71,2021-05-14T11:14:41.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51180383779_409fc6edf8_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
72,2021-05-14T11:14:41.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51179589141_24cba8b253_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
73,2021-05-14T11:14:42.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51180685920_d436755b3d_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
74,2021-05-14T11:14:42.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51178906272_e23bd86bda_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
75,2021-05-14T12:18:42.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51179587266_fb70409f2a_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
76,2021-05-14T12:38:06.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51179585456_4ab4a31617_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
77,2021-05-14T12:18:46.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51180680565_8d868c694d_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
